EmployeeID,Age,Gender,Department,JobRole,Salary,PerformanceScore,AttendanceRate,Education,JoinDate
E1000,28,Male,operations,Executive,41049,1,,Masters,2018-03-07
E1001,53,Male,Sales,Manager,71925,5,88,Bachelors,2022-04-04
E1002,42,Female,Finance,MANAGER,87731,,66,Masters,2021-05-21
E1003,50,Male,marketing,Analyst,61178,5,83,PhD,2018-05-23
E1004,39,Male,Finance,Analyst,49911,3,82,Masters,2021-12-08
E1005,59,Male,Sales,Manager,35708,3,100,Bachelors,2021-11-03
E1006,24,Male,HR,Executive,51290,2,96,Masters,2019-03-12
E1007,50,Male,IT,Manager,41162,5,97,PhD,2020-03-28
E1008,29,Female,HR,Analyst,81433,2,87,Masters,2020-02-21
E1009,37,Male,Operations,Analyst,69676,3,81,Masters,2018-11-20
E1010,37,Male,Sales,Analyst,82050,5,69,Bachelors,2021-01-09
E1011,21,Female,Marketing,Analyst,32331,3,75,Bachelors,2018-06-25
E1012,55,Male,Finance,Specialist,87052,3,98,Bachelors,2023-03-18
E1013,33,Female,Marketing,Executive,53711,4,,Bachelors,2021-04-19
E1014,21,Male,Operations,Analyst,35517,,75,Masters,2019-03-15
E1015,57,Female,Finance,SPECIALIST,77920,,87,Masters,2020-08-14
E1016,27,Male,Marketing,Executive,77467,2,94,Masters,2019-01-11
E1017,25,Female,Sales,Analyst,28315,5,65,Bachelors,2018-12-07
E1018,46,Male,Finance,Specialist,25141,3,89,PhD,2023-05-15
E1019,52,Male,Finance,Executive,39267,5,63,Bachelors,2018-04-13
E1020,54,Male,HR,ASSOCIATE,30250,1,75,PhD,2019-05-20
E1021,26,Female,Operations,Associate,62042,3,80,Masters,2018-09-26
E1022,41,Male,HR,SPECIALIST,65708,,73,Bachelors,2023-03-27
E1023,36,Female,IT,Manager,53716,3,,PhD,2019-09-06
E1024,29,Female,HR,Analyst,73655,3,73,Bachelors,2021-11-08
E1025,52,Female,HR,Analyst,66568,,81,PhD,2019-06-21
E1026,48,Male,HR,Analyst,86934,2,83,Bachelors,2020-05-30
E1027,23,Female,Finance,Manager,68708,5,86,PhD,2018-11-13
E1028,31,Male,Marketing,Analyst,36754,3,86,PhD,2022-07-19
E1029,27,Female,HR,Specialist,39577,4,74,PhD,2019-01-31
E1030,25,Female,IT,Associate,51193,5,61,Masters,2019-01-01
E1031,23,Male,Sales,Specialist,47654,3,92,PhD,2019-01-25
E1032,21,Male,IT,Specialist,29585,3,67,Masters,2020-11-04
E1033,46,Female,Sales,MANAGER,37572,4,71,Masters,2020-04-11
E1034,39,Male,Marketing,Associate,64758,4,73,PhD,2018-12-14
E1035,60,Female,HR,MANAGER,69092,2,62,Masters,2021-06-05
E1036,47,Male,Operations,Specialist,57399,2,60,Bachelors,2022-05-14
E1037,54,Female,HR,Associate,41331,1,89,PhD,2021-05-04
E1038,49,Female,Sales,Specialist,83799,4,75,Masters,2022-04-18
E1039,36,Female,Marketing,Analyst,71762,3,,Bachelors,2019-04-19
E1040,34,Male,Marketing,Specialist,46684,,86,PhD,2023-04-22
E1041,57,Female,Marketing,Analyst,86783,4,86,PhD,2021-01-23
E1042,52,Male,it,Specialist,57334,4,89,PhD,2020-12-29
E1043,57,Male,HR,Specialist,33893,,84,Masters,2019-11-01
E1044,38,Female,IT,ANALYST,59659,1,82,Bachelors,2022-05-19
E1045,22,Male,Finance,Analyst,65719,2,67,Bachelors,2020-08-10
E1046,31,Male,finance,Executive,32084,3,84,PhD,2019-02-11
E1047,36,Male,Operations,Executive,80724,1,96,Masters,2020-12-27
E1048,53,Female,HR,Specialist,78892,4,100,Masters,2021-12-19
E1049,54,Female,Sales,Associate,75766,4,97,Bachelors,2022-08-29
E1050,49,Male,Marketing,Associate,64998,,80,Bachelors,2019-12-28
E1051,59,Female,Sales,Analyst,58857,1,86,Bachelors,2021-11-15
E1052,49,Male,HR,Executive,39522,2,97,PhD,2020-12-23
E1053,56,Female,IT,Specialist,42754,2,72,PhD,2021-01-02
E1054,33,Male,Operations,Specialist,43120,5,66,Masters,2019-04-11
E1055,55,Male,IT,Analyst,88637,2,91,Bachelors,2021-03-21
E1056,42,Male,HR,Executive,86673,1,85,PhD,2021-07-13
E1057,57,Female,HR,Manager,32762,4,99,PhD,2020-02-19
E1058,58,Female,IT,ASSOCIATE,62324,2,76,Bachelors,2019-05-07
E1059,21,Female,Marketing,Associate,55796,2,78,Masters,2018-05-26
E1060,58,Male,Marketing,Analyst,60688,2,,Bachelors,2022-06-12
E1061,57,Female,Marketing,Analyst,55716,4,92,Masters,2018-06-14
E1062,41,Female,HR,ANALYST,40002,5,61,PhD,2022-08-10
E1063,32,Female,Sales,Specialist,85035,5,91,Masters,2019-12-14
E1064,27,Male,IT,Specialist,70460,4,,Bachelors,2019-10-07
E1065,46,Male,Operations,Associate,55276,2,99,PhD,2020-06-24
E1066,56,Male,IT,Specialist,82727,,100,Bachelors,2021-12-24
E1067,56,Female,HR,Manager,80142,4,69,PhD,2019-08-21
E1068,51,Female,finance,Specialist,61127,2,92,Bachelors,2022-11-05
E1069,47,Female,Sales,Executive,78666,5,91,Masters,2021-01-08
E1070,55,Female,Marketing,Executive,81990,2,74,Masters,2018-03-31
E1071,45,Female,Operations,MANAGER,57461,2,97,Bachelors,2022-11-26
E1072,50,Male,Operations,Manager,51868,,76,PhD,2020-03-25
E1073,55,Female,IT,Specialist,82172,,100,Masters,2019-04-11
E1074,27,Male,Marketing,Manager,70482,,63,Masters,2020-06-01
E1075,57,Male,Finance,Manager,30175,4,75,PhD,2018-10-21
E1076,50,Female,Operations,Analyst,83910,3,,Masters,2021-04-18
E1077,37,Female,IT,Manager,50211,1,96,Masters,2021-12-03
E1078,46,Female,HR,Associate,81693,1,91,Masters,2022-05-08
E1079,43,Male,Operations,Manager,65690,2,100,Masters,2022-06-04
E1080,29,Male,IT,Executive,73986,2,94,Masters,2020-12-23
E1081,31,Female,Marketing,Executive,73926,1,64,Bachelors,2022-10-28
E1082,46,Female,HR,Specialist,25912,1,76,PhD,2023-04-10
E1083,51,Male,Sales,Associate,46496,2,100,PhD,2019-09-11
E1084,23,Male,IT,Specialist,36417,2,83,PhD,2021-11-27
